Ticker,Publish Date,Earning Date,epsestimate,epsactual,epssurprisepct
EOG,2017-11-02,2017-11-02,0.1,0.19,84.47
EOG,2018-02-27,2018-02-27,0.53,0.69,30.93
EOG,2018-05-03,2018-05-03,1.0,1.19,18.41
EOG,2018-08-02,2018-08-02,1.23,1.37,11.02
EOG,2018-11-01,2018-11-01,1.52,1.75,15.21
EOG,2019-02-26,2019-02-26,1.34,1.24,-7.32
EOG,2019-05-02,2019-05-02,1.02,1.19,16.55
EOG,2019-08-01,2019-08-01,1.32,1.31,-0.68
EOG,2019-11-06,2019-11-06,1.13,1.13,-0.35
EOG,2020-02-27,2020-02-27,1.15,1.35,17.39
EOG,2020-05-07,2020-05-07,0.66,0.55,-16.41
EOG,2020-08-06,2020-08-06,-0.05,-0.23,-360.0
EOG,2020-11-05,2020-11-05,0.19,0.43,128.72
EOG,2021-02-25,2021-02-25,0.35,0.71,100.56
EOG,2021-05-06,2021-05-06,1.48,1.62,9.61
EPAM,2016-08-08,2016-08-04,0.72,0.71,-1.66
EPAM,2016-11-09,2016-11-07,0.75,0.76,1.6
EPAM,2017-03-01,2017-02-16,0.79,0.77,-2.04
EPAM,2017-05-08,2017-05-04,0.74,0.72,-2.57
EPAM,2017-08-08,2017-08-03,0.81,0.8,-1.6
EPAM,2017-11-07,2017-11-02,0.85,0.92,8.49
EPAM,2018-02-27,2018-02-16,0.97,1.01,3.91
EPAM,2018-05-10,2018-05-09,0.91,0.93,2.2
EPAM,2018-08-06,2018-08-02,0.99,1.01,2.12
EPAM,2018-11-05,2018-11-01,1.05,1.17,11.11
EPAM,2019-02-26,2019-02-14,1.23,1.27,3.42
EPAM,2019-05-09,2019-05-09,1.17,1.25,6.93
EPAM,2019-08-08,2019-08-08,1.23,1.28,4.23
